review_id,product_id,review_date,review_text,rating
1,2589,2021-10-01 06:50:41,Fantastic performance.,5
2,1382,2022-03-28 22:18:35,Exceeded expectations.,5
3,2988,2020-06-09 00:40:29,Fantastic performance.,3
4,2845,2020-05-16 18:59:43,Value for money.,4
5,2520,2023-02-03 05:08:03,Not as advertised.,1
6,3727,2024-12-27 03:31:16,Poor build quality.,2
7,1888,2023-12-19 05:53:06,Would not recommend.,4
8,1324,2024-01-17 07:31:13,Exceeded expectations.,4
9,3810,2024-10-17 17:54:21,Great product!,3
10,3748,2020-09-24 21:04:57,Great product!,4
11,2132,2023-07-08 19:24:23,Battery drains fast.,3
12,2425,2022-11-10 16:07:15,Battery drains fast.,3
13,3385,2023-10-12 01:42:07,Would not recommend.,2
14,2252,2021-01-07 05:44:05,User-friendly interface.,5
15,1009,2020-11-07 04:10:45,Great product!,4
16,1318,2020-12-17 12:02:57,Customer support was helpful.,3
17,3217,2023-02-19 05:55:06,Battery drains fast.,3
18,4635,2023-12-02 10:52:29,Poor build quality.,5
19,17,2024-06-19 20:09:37,Battery drains fast.,5
20,4671,2024-11-16 07:15:37,Value for money.,3
21,1803,2024-06-30 20:29:50,Would not recommend.,4
22,2624,2023-05-17 06:11:27,Fantastic performance.,4
23,130,2024-05-25 22:52:47,Value for money.,4
24,1474,2020-10-02 16:02:57,Poor build quality.,5
25,950,2020-09-28 04:17:24,Great product!,4
26,3997,2021-10-31 21:07:37,Exceeded expectations.,4
27,1069,2024-02-04 12:17:53,Great product!,4
28,4312,2022-08-16 13:49:29,Great product!,5
29,1624,2023-03-12 03:18:22,Exceeded expectations.,1
30,2896,2024-11-20 00:18:11,Value for money.,1
31,2737,2024-04-25 05:12:17,Customer support was helpful.,4
32,2313,2024-02-21 00:58:18,Value for money.,1
33,1947,2023-12-13 16:19:01,Fantastic performance.,4
34,617,2023-08-14 22:31:31,Value for money.,5
35,1870,2021-06-24 23:15:06,Poor build quality.,4
36,301,2021-02-15 08:02:26,Value for money.,2
37,985,2023-11-14 15:53:09,Not as advertised.,3
38,3692,2023-07-28 14:11:36,User-friendly interface.,5
39,4502,2024-09-28 22:00:49,Poor build quality.,2
40,3427,2024-08-23 22:34:23,Would not recommend.,2
41,161,2023-05-06 20:59:37,Exceeded expectations.,3
42,26,2024-06-26 21:38:07,Would not recommend.,2
43,83,2022-04-30 08:22:30,Exceeded expectations.,3
44,173,2024-04-18 02:34:32,Would not recommend.,4
45,999,2021-08-22 00:07:22,Not as advertised.,5
46,3142,2022-06-05 22:01:38,Battery drains fast.,5
47,2883,2020-04-12 11:51:49,User-friendly interface.,5
48,4102,2023-05-17 12:51:42,Customer support was helpful.,3
49,2844,2020-05-23 23:34:37,Fantastic performance.,3
50,4621,2022-04-05 02:17:52,Great product!,2
51,2111,2024-02-18 06:00:38,Exceeded expectations.,5
52,3085,2022-06-04 16:04:27,Fantastic performance.,2
53,2046,2020-08-22 02:01:52,Exceeded expectations.,4
54,761,2024-09-14 21:27:05,Exceeded expectations.,2
55,205,2023-11-04 10:02:51,Exceeded expectations.,5
56,4993,2024-05-20 09:46:40,Exceeded expectations.,3
57,3103,2022-02-21 00:30:00,Exceeded expectations.,2
58,2036,2020-10-25 04:33:27,Great product!,2
59,1553,2022-06-30 07:14:30,Would not recommend.,3
60,4973,2021-12-17 22:17:51,Would not recommend.,3
61,825,2020-01-05 15:40:10,Battery drains fast.,5
62,2957,2022-08-28 05:46:00,Exceeded expectations.,4
63,3749,2024-03-31 08:57:25,Poor build quality.,5
64,2446,2020-04-22 21:50:15,Fantastic performance.,2
65,3897,2024-03-19 19:00:36,Great product!,5
66,839,2021-08-15 12:31:01,Exceeded expectations.,5
67,4696,2022-12-29 04:02:15,Exceeded expectations.,3
68,3684,2024-07-30 21:35:28,Value for money.,4
69,1962,2021-11-21 21:40:18,Poor build quality.,4
70,938,2021-11-26 05:44:07,Not as advertised.,5
71,2932,2024-11-13 08:20:07,Fantastic performance.,3
72,425,2022-08-04 03:22:14,Customer support was helpful.,3
73,3311,2023-07-14 09:29:10,Value for money.,2
74,3052,2020-09-20 14:40:23,Would not recommend.,1
75,2906,2022-10-12 23:36:18,Fantastic performance.,2
76,2138,2020-06-21 19:49:37,Poor build quality.,2
77,4047,2024-08-24 06:48:02,Value for money.,2
78,3211,2024-04-05 16:37:30,User-friendly interface.,1
79,2695,2024-10-13 19:49:22,Great product!,3
80,3596,2022-05-17 03:38:40,Battery drains fast.,3
81,1268,2020-12-10 12:51:10,Great product!,4
82,3577,2022-09-17 00:53:42,Value for money.,4
83,422,2022-10-11 18:11:33,Would not recommend.,5
84,3267,2024-08-22 00:38:18,Battery drains fast.,5
85,1658,2020-08-01 15:32:57,Fantastic performance.,5
86,2101,2024-11-23 05:23:41,Value for money.,4
87,3940,2022-12-26 04:02:07,Would not recommend.,4
88,685,2023-08-01 04:45:45,Great product!,2
89,2227,2023-08-07 18:09:20,Battery drains fast.,3
90,4389,2021-03-15 05:31:20,User-friendly interface.,4
91,2423,2020-02-02 01:08:35,User-friendly interface.,1
92,1078,2023-01-03 19:38:32,Not as advertised.,2
93,3986,2023-04-29 22:17:31,Not as advertised.,1
94,3841,2021-08-20 04:21:30,Fantastic performance.,1
95,3317,2022-01-12 09:02:09,Fantastic performance.,3
96,2844,2024-05-27 01:37:47,Would not recommend.,1
97,3440,2020-12-04 02:32:39,Fantastic performance.,1
98,4112,2022-06-12 23:53:00,Great product!,1
99,4272,2021-09-21 00:18:15,User-friendly interface.,1
100,1904,2023-08-14 21:35:21,Would not recommend.,2
101,4225,2021-06-26 09:09:47,Battery drains fast.,2
102,3295,2024-05-08 11:23:51,Exceeded expectations.,3
103,4980,2024-07-05 03:47:19,Fantastic performance.,3
104,426,2023-03-19 08:44:38,Value for money.,1
105,2402,2020-10-19 03:05:52,Customer support was helpful.,5
106,750,2023-07-14 05:16:09,Great product!,1
107,4840,2024-09-16 16:19:17,Fantastic performance.,1
108,4575,2022-08-11 16:46:08,Exceeded expectations.,3
109,44,2023-09-03 08:49:07,Great product!,4
110,1560,2024-12-17 11:22:46,User-friendly interface.,3
111,4195,2022-12-08 10:31:23,User-friendly interface.,2
112,3469,2020-06-29 17:43:49,Would not recommend.,3
113,3952,2022-12-19 20:15:49,User-friendly interface.,4
114,4267,2020-01-22 12:12:33,Fantastic performance.,1
115,148,2022-12-08 15:53:35,Battery drains fast.,4
116,2171,2023-09-13 20:52:21,Poor build quality.,3
117,112,2024-03-10 09:00:13,Poor build quality.,5
118,4164,2024-07-16 05:25:09,Not as advertised.,2
119,828,2021-10-12 16:03:57,Great product!,4
120,1753,2021-08-25 03:37:13,Battery drains fast.,3
121,2940,2022-06-29 06:11:33,Exceeded expectations.,1
122,3729,2023-07-09 11:32:08,Fantastic performance.,3
123,3617,2024-04-26 02:10:48,Poor build quality.,1
124,3724,2021-06-04 22:08:25,Exceeded expectations.,5
125,2278,2020-03-17 23:40:57,User-friendly interface.,2
126,160,2023-02-04 12:05:21,User-friendly interface.,4
127,3366,2022-01-15 08:04:57,Poor build quality.,3
128,2234,2020-06-14 00:10:30,Poor build quality.,3
129,1014,2024-06-11 22:02:50,Exceeded expectations.,4
130,4973,2022-09-10 10:24:09,Value for money.,1
131,552,2024-12-19 16:34:04,Great product!,2
132,1176,2022-02-12 09:30:05,Great product!,5
133,1164,2021-09-17 16:10:16,Exceeded expectations.,4
134,1309,2021-06-08 05:55:07,Value for money.,2
135,1493,2023-04-23 08:56:44,User-friendly interface.,3
136,1242,2023-03-26 05:59:01,Value for money.,2
137,4532,2021-06-17 23:48:26,Value for money.,5
138,4828,2023-09-20 00:46:18,Value for money.,2
139,1778,2021-09-25 21:33:34,Great product!,3
140,60,2020-10-23 07:24:22,Value for money.,5
141,1634,2023-10-19 00:31:38,Exceeded expectations.,5
142,2452,2022-10-30 17:21:52,Battery drains fast.,5
143,336,2022-07-23 05:45:08,Fantastic performance.,3
144,831,2020-02-09 06:22:49,Not as advertised.,1
145,1593,2023-02-24 04:26:18,Not as advertised.,3
146,4381,2021-12-07 19:41:13,Not as advertised.,1
147,960,2024-11-14 19:11:20,Battery drains fast.,1
148,4167,2023-12-22 13:56:21,Battery drains fast.,3
149,1122,2020-04-17 00:08:46,Poor build quality.,2
150,2224,2022-02-06 18:44:12,Fantastic performance.,3
151,3817,2024-11-11 02:26:38,Exceeded expectations.,5
152,4980,2021-10-14 17:46:37,Poor build quality.,2
153,1099,2022-10-06 19:12:43,Value for money.,4
154,143,2023-11-01 11:13:54,Fantastic performance.,4
155,2979,2020-11-04 02:48:49,Would not recommend.,4
156,1047,2020-12-27 12:32:47,Would not recommend.,5
157,1069,2022-03-17 23:35:46,Fantastic performance.,5
158,4188,2020-09-11 14:16:36,Would not recommend.,1
