product_id,campaign_budget,channels
1,344195,"Online, Social Media"
2,227333,TV
3,70014,"Social Media, Outdoor, TV"
4,242500,"Online, TV, Radio"
5,309137,"Radio, Print, Online"
6,184567,"Print, Radio"
7,477003,Print
8,301119,"TV, Online, Outdoor"
9,217161,TV
10,380759,"Print, Social Media"
11,203414,"Social Media, TV"
12,61118,"TV, Print"
13,53717,"TV, Social Media"
14,185886,"Outdoor, Print, TV"
15,120193,"Radio, Print, Online"
16,208608,"Print, Outdoor, Social Media"
17,396347,Social Media
18,189073,"Radio, Online, Outdoor"
19,301841,"Print, Radio, Outdoor"
20,463841,"Social Media, Print"
21,364232,"Outdoor, Social Media, TV"
22,302791,"Radio, Social Media, Outdoor"
23,440175,"Outdoor, TV, Social Media"
24,198790,"Social Media, Outdoor"
25,139030,"Outdoor, Radio"
26,386226,"Radio, TV"
27,76457,"Radio, Social Media"
28,240882,"Social Media, Outdoor, TV"
29,179184,"Print, Radio, Social Media"
30,487096,"Print, Radio, Social Media"
31,219693,Print
32,348543,Outdoor
33,170818,"Social Media, Print"
34,492428,"TV, Social Media"
35,131176,"TV, Online"
36,458016,TV
37,250417,"Print, Outdoor"
38,242274,"Outdoor, Radio"
39,365584,"Outdoor, Social Media"
40,91993,TV
41,296012,Outdoor
42,148987,"TV, Outdoor"
43,120705,"Radio, TV"
44,444864,"Outdoor, Radio"
45,498779,"TV, Print, Social Media"
46,487039,Social Media
47,419523,"Online, Print, Outdoor"
48,463987,"Outdoor, Print, Social Media"
49,465896,"Print, TV"
50,129363,"Social Media, Radio"
51,88564,"Online, Print, Outdoor"
52,107054,"Outdoor, Online"
53,123172,Radio
54,420101,Outdoor
55,473574,"TV, Print, Outdoor"
56,208327,"Social Media, TV"
57,65464,"TV, Radio"
58,188366,Print
59,367762,Online
60,474307,"Social Media, Radio"
61,252362,"Print, TV, Outdoor"
62,201230,Print
63,343951,"Outdoor, TV"
64,145007,"Online, TV"
65,394616,"Outdoor, Social Media"
66,236315,Print
67,489772,"Outdoor, Radio"
68,470353,"Radio, Social Media"
69,349416,"TV, Print"
70,341592,Social Media
71,105418,"TV, Online, Radio"
72,176425,"Print, Online, Outdoor"
73,437868,TV
74,213343,"Print, TV"
75,240857,Radio
76,427920,"Outdoor, Radio"
77,242117,"Outdoor, TV"
78,432505,"Radio, Print"
79,81243,"TV, Print"
80,360984,"Online, Radio"
81,78354,Online
82,405506,Print
83,298498,"Radio, Social Media, Online"
84,300143,"Online, Outdoor"
85,219510,Print
86,456501,Outdoor
87,279093,"Print, TV"
88,167197,"Online, TV"
89,420858,"Outdoor, Social Media"
90,476660,"Outdoor, TV"
91,159031,Online
92,322369,"Social Media, Online, Outdoor"
93,314857,"Online, TV, Outdoor"
94,324329,Online
95,303905,Radio
96,95080,"Radio, Print, TV"
97,235619,"Online, Outdoor, Print"
98,493572,"Online, Social Media"
99,89692,Radio
100,351336,Radio
101,452435,"Online, Social Media"
102,140296,"Radio, Social Media, Online"
103,411089,Print
104,158799,"TV, Online"
105,63671,Social Media
106,284509,Social Media
107,369893,"Radio, Print"
108,138623,"TV, Print, Social Media"
109,81693,"Print, Radio"
110,299056,"Outdoor, TV, Social Media"
111,116475,Radio
112,132942,"TV, Online"
113,366555,Social Media
114,325448,TV
115,476138,"TV, Outdoor"
116,195537,Outdoor
117,146476,"Print, Online"
118,345083,Online
119,487399,"Radio, TV, Print"
120,299066,Print
121,182217,"Print, Social Media, Outdoor"
122,459711,"Print, Social Media, Online"
123,324678,"Outdoor, Online"
124,145728,"Outdoor, Print, Online"
125,477327,Outdoor
126,172855,"Print, Radio, TV"
127,454318,Social Media
128,326564,Online
129,276191,"Print, Outdoor"
130,199655,"Radio, Print"
131,103483,Online
132,160166,"Online, TV"
133,198954,Radio
134,179932,Online
135,82997,Print
136,310902,"Print, TV"
137,263831,"TV, Social Media"
138,97908,"TV, Online, Print"
139,258734,Radio
140,85534,"TV, Print, Online"
141,469188,TV
142,166585,"Social Media, Online"
143,376171,"TV, Social Media, Radio"
144,163062,"Print, Social Media"
145,263531,"Social Media, Outdoor"
146,469970,Online
147,442259,"Online, Radio, Print"
148,400496,Print
149,405586,"TV, Print"
150,420558,"TV, Print, Social Media"
151,384186,Radio
152,453585,"Online, Social Media"
153,207606,TV
154,286757,"Online, Social Media, Outdoor"
155,340886,Outdoor
156,139008,"Print, Radio, Online"
157,276468,TV
158,105836,Online
159,325238,"Online, TV, Outdoor"
160,93930,"Social Media, Radio"
161,276509,"TV, Print, Social Media"
162,257741,Social Media
163,100306,"Social Media, Radio"
164,247701,Outdoor
165,355013,"Print, Radio, Outdoor"
166,317621,"Print, Outdoor, Radio"
167,256121,Outdoor
168,214225,"Social Media, Print"
169,75825,"Print, Radio, Social Media"
170,480154,"TV, Outdoor, Social Media"
171,231218,Outdoor
172,237415,"Online, Outdoor"
173,107754,Print
174,289701,Radio
175,490649,"Print, Radio"
176,163861,"Social Media, Radio, Print"
177,191001,"Online, Print, Outdoor"
178,156297,"Radio, Online, Print"
179,439964,"TV, Print"
180,263844,"Print, Outdoor"
181,420586,"Outdoor, Online"
182,432539,Online
183,387090,"Print, Radio, Outdoor"
184,167470,Online
185,65869,"Outdoor, Print, Radio"
186,114480,"TV, Radio"
